country,state,stateSlug,city,slug,timezone,intro,bestViewingAreas,localSafetyUrl
US,AZ,az,Phoenix,phoenix,America/Phoenix,Greater Phoenix hosts multiple metropolitan July 4 displays including Westgate Entertainment District (Glendale) and Margaret T. Hance Park downtown.,"Margaret T. Hance Park | Westgate Entertainment District (Glendale) | Steele Indian School Park | Salt River Fields shore (Scottsdale)",https://www.phoenix.gov/fire
US,AZ,az,Tempe,tempe,America/Phoenix,Tempe Town Lake hosts the annual Fabulous Phoenix 4th sister event with shoreline viewing on both north and south banks.,"Tempe Town Lake North Shore | Tempe Beach Park | Tempe Center for the Arts lawn",https://www.tempe.gov/government/fire-medical-rescue-department
US,CA,ca,San Francisco,san-francisco,America/Los_Angeles,San Francisco has multiple verified public fireworks events and family viewing points during major holiday windows.,"The Embarcadero | Pier 39 | Crissy Field",https://sf.gov/
US,CA,ca,Corona,corona,America/Los_Angeles,Corona's official event page supports family-centered July 4th parade and fireworks planning.,"Main Street USA route | Community event viewing blocks | Official crowd staging areas",https://community.coronaca.gov/
US,CA,ca,Los Angeles,los-angeles,America/Los_Angeles,"Los Angeles fireworks planning now centers on verified venue pages such as Hollywood Bowl, where shuttle, parking, and entry rules matter as much as viewing position.","Hollywood Bowl | Official venue seating | Signed shuttle and pickup zones",https://lacity.gov/
US,CA,ca,San Diego,san-diego,America/Los_Angeles,San Diego public displays are mostly family-oriented and run with local coast patrol and police guidance.,"Downtown Waterfront | Bayfront Public Parks",https://www.sandiego.gov/
US,CA,ca,Graeagle,graeagle,America/Los_Angeles,Graeagle's verified community fireworks page is useful for rural mountain-town arrival planning and fire-safety checks.,"Graeagle Mill Pond | Town center public areas | Signed community viewing zones",https://graeaglefireworks.org/
US,CO,co,Fort Lupton,fort-lupton,America/Denver,"Fort Lupton's official Independence Day Festival page supports practical park arrival, parking, and family viewing planning.","Community Center Park | Official festival areas | Signed family viewing zones",https://www.fortluptonco.gov/
US,CO,co,Gypsum,gypsum,America/Denver,Gypsum's official town event page is useful for mountain-community fire restriction checks and staged departures.,"Lundgren Amphitheater | Official town viewing areas | Signed park spaces",https://www.townofgypsum.com/
US,DC,dc,Washington,washington,America/New_York,"Washington, D.C. combines parade routes and waterfront watch points for America250 and city-supported July 4th gatherings.","National Mall | Potomac Riverfront edges | Lincoln Memorial vicinity",https://www.wmata.com/
US,FL,fl,Miami,miami,America/New_York,Miami has multiple official city-linked July 4 options at bayfront and beachfront districts.,"Bayfront Park | Lummus Park | Downtown Ferry Landing",https://www.miami.gov/
US,FL,fl,Sarasota,sarasota,America/New_York,Sarasota publishes its 250th America celebrations schedule with family events and public fireworks windows.,"Bayfront Park | River and park frontage | Official downtown access routes",https://www.sarasotafl.gov/
US,FL,fl,Tampa,tampa,America/New_York,Tampa supports family-facing waterfront displays with formal transit guidance and city advisories.,"Tampa Riverwalk | Waterfront Park Zones | Central Pier Access",https://www.tampa.gov/
US,FL,fl,Orlando,orlando,America/New_York,"Orlando centers its official July 4 fireworks planning around Lake Eola Park, downtown garages, and city event updates.","Lake Eola Park lawns | Downtown lake perimeter | Signed family viewing zones",https://www.orlando.gov/
US,GA,ga,Atlanta,atlanta,America/New_York,"Atlanta's main July 4 celebrations center on Centennial Olympic Park (Fourth in the Park) and Lenox Square, with MARTA rail extending late service.","Centennial Olympic Park lawn | Lenox Square parking deck rooftop (public access until full) | Piedmont Park elevated meadow | Stone Mountain Park (separate paid event)",https://www.atlantaga.gov/government/departments/fire-rescue
US,GA,ga,Savannah,savannah,America/New_York,Savannah's Fourth of July fireworks launch over the Savannah River with public viewing from River Street and along the Hutchinson Island shoreline.,"River Street | Rousakis Plaza | Hutchinson Island ferry waiting plaza",https://www.savannahga.gov/247/Fire-Department
US,IL,il,Chicago,chicago,America/Chicago,Chicago public waterfront spaces and city guidance support major holiday traffic and family viewing windows.,"Lakefront Trail | Navy Pier | Grant Park",https://www.chicago.gov/
US,IN,in,Westfield,westfield,America/Indiana/Indianapolis,"Westfield's official Rocks the 4th page supports Grand Park arrival planning, parking choices, and family viewing routes.","Grand Park Sports Campus | Official event fields | Signed family zones",https://www.westfieldin.gov/
US,MA,ma,Boston,boston,America/New_York,"Boston's July 4 planning centers on the Charles River Esplanade, official entry guidance, and transit-first movement.","Charles River Esplanade | Cambridge riverfront edges | Official family viewing zones",https://www.bostonpopsjuly4th.org/
US,MD,md,Rockville,rockville,America/New_York,"Rockville's official Independence Day page helps families plan park access, entertainment timing, and post-fireworks exits.","Mattie J.T. Stepanek Park | Official park lawns | Signed public viewing areas",https://www.rockvillemd.gov/
US,MN,mn,Minneapolis,minneapolis,America/Chicago,"Minneapolis's Red, White and Boom! event combines Mississippi Riverfront fireworks with downtown stage programming and family viewing along Boom Island Park.","Boom Island Park | Nicollet Island | Stone Arch Bridge | Father Hennepin Bluff Park",https://www.minneapolismn.gov/government/departments/fire-mfd/
US,MO,mo,St. Louis,st-louis,America/Chicago,Fair Saint Louis at the Gateway Arch grounds is one of the country's longest-running Independence Day fireworks events.,"Gateway Arch National Park lawn | Eads Bridge pedestrian walkway | Malcolm W. Martin Memorial Park (east bank, Illinois side)",https://www.stlouis-mo.gov/government/departments/public-safety/fire/
